run_name,algorithm,parameter,value,seed,total_timesteps,learning_rate,gamma,exploration_fraction,exploration_final_eps,buffer_size,learning_starts,batch_size,target_update_interval,train_freq,gradient_steps,net_arch,mean_reward,std_reward,success_rate,crash_rate,mean_episode_length,mean_fuel_proxy,mean_final_distance_to_pad,mean_abs_angle,mean_speed,model_path,n_steps,n_epochs,clip_range,ent_coef,gae_lambda
sens_ppo_clip_range_0p2_seed_123,PPO,clip_range,0.2,123,50000,0.0003,0.999,,,,,64,,,,"[128, 128]",-38.971745591640754,99.25156682338915,0.0,0.28,954.96,952.61,0.5081287342682481,0.03607776650391613,0.1338595044265376,C:\Users\marta\OneDrive\Desktop\python\lunar_lander\models\sens_ppo_clip_range_0p2_seed_123.zip,1024.0,10.0,0.2,0.01,0.95
sens_ppo_clip_range_0p3_seed_42,PPO,clip_range,0.3,42,50000,0.0003,0.999,,,,,64,,,,"[128, 128]",185.02280887341257,82.8808022374541,0.695,0.0,491.54,346.86,0.17884688414342237,0.06313906135138916,0.19350072438637989,C:\Users\marta\OneDrive\Desktop\python\lunar_lander\models\sens_ppo_clip_range_0p3_seed_42.zip,1024.0,10.0,0.3,0.01,0.95
sens_ppo_clip_range_0p3_seed_123,PPO,clip_range,0.3,123,50000,0.0003,0.999,,,,,64,,,,"[128, 128]",-25.07185874492676,131.0992975955803,0.03,0.345,550.745,543.93,0.7700248325616121,0.06081048109275546,0.2215074985562504,C:\Users\marta\OneDrive\Desktop\python\lunar_lander\models\sens_ppo_clip_range_0p3_seed_123.zip,1024.0,10.0,0.3,0.01,0.95
sens_ppo_clip_range_0p4_seed_42,PPO,clip_range,0.4,42,50000,0.0003,0.999,,,,,64,,,,"[128, 128]",-128.65966372826145,52.173905820650866,0.0,0.665,893.45,893.39,1.147566403746605,0.029993577269549175,0.11472104564855533,C:\Users\marta\OneDrive\Desktop\python\lunar_lander\models\sens_ppo_clip_range_0p4_seed_42.zip,1024.0,10.0,0.4,0.01,0.95
sens_ppo_clip_range_0p4_seed_123,PPO,clip_range,0.4,123,50000,0.0003,0.999,,,,,64,,,,"[128, 128]",47.74593332645512,87.67401905825281,0.015,0.025,908.69,873.04,0.17050795907154678,0.03491220559352662,0.10615257084910468,C:\Users\marta\OneDrive\Desktop\python\lunar_lander\models\sens_ppo_clip_range_0p4_seed_123.zip,1024.0,10.0,0.4,0.01,0.95
sens_ppo_ent_coef_0p001_seed_42,PPO,ent_coef,0.001,42,50000,0.0003,0.999,,,,,64,,,,"[128, 128]",-112.75237049622474,63.962359817092924,0.0,0.555,844.925,844.68,0.9836260797083378,0.027148710238019805,0.14279634557001866,C:\Users\marta\OneDrive\Desktop\python\lunar_lander\models\sens_ppo_ent_coef_0p001_seed_42.zip,1024.0,10.0,0.2,0.001,0.95
sens_ppo_ent_coef_0p001_seed_123,PPO,ent_coef,0.001,123,50000,0.0003,0.999,,,,,64,,,,"[128, 128]",-204.33643762061322,65.1984945569754,0.0,0.97,557.96,557.96,1.7791049927473068,0.03210747845755263,0.22041759714210651,C:\Users\marta\OneDrive\Desktop\python\lunar_lander\models\sens_ppo_ent_coef_0p001_seed_123.zip,1024.0,10.0,0.2,0.001,0.95
sens_ppo_ent_coef_0p01_seed_42,PPO,ent_coef,0.01,42,50000,0.0003,0.999,,,,,64,,,,"[128, 128]",-139.38963125257837,50.766583459689194,0.0,0.77,541.14,508.605,1.1201711897552014,0.03540899202568705,0.24168184147649832,C:\Users\marta\OneDrive\Desktop\python\lunar_lander\models\sens_ppo_ent_coef_0p01_seed_42.zip,1024.0,10.0,0.2,0.01,0.95
sens_ppo_ent_coef_0p01_seed_123,PPO,ent_coef,0.01,123,50000,0.0003,0.999,,,,,64,,,,"[128, 128]",-38.971745591640754,99.25156682338915,0.0,0.28,954.96,952.61,0.5081287342682481,0.03607776650391613,0.1338595044265376,C:\Users\marta\OneDrive\Desktop\python\lunar_lander\models\sens_ppo_ent_coef_0p01_seed_123.zip,1024.0,10.0,0.2,0.01,0.95
sens_ppo_ent_coef_0p02_seed_42,PPO,ent_coef,0.02,42,50000,0.0003,0.999,,,,,64,,,,"[128, 128]",-137.98148652206004,177.44288754963202,0.06,0.63,734.775,667.855,1.4069101034384222,0.04018285702903088,0.1565882517006494,C:\Users\marta\OneDrive\Desktop\python\lunar_lander\models\sens_ppo_ent_coef_0p02_seed_42.zip,1024.0,10.0,0.2,0.02,0.95
sens_ppo_ent_coef_0p02_seed_123,PPO,ent_coef,0.02,123,50000,0.0003,0.999,,,,,64,,,,"[128, 128]",-121.86609495040764,54.108890854146175,0.0,0.56,836.46,828.365,0.9820148821175099,0.030875954259445112,0.14098195555615273,C:\Users\marta\OneDrive\Desktop\python\lunar_lander\models\sens_ppo_ent_coef_0p02_seed_123.zip,1024.0,10.0,0.2,0.02,0.95
sens_ppo_n_steps_1024_seed_42,PPO,n_steps,1024,42,50000,0.0003,0.999,,,,,64,,,,"[128, 128]",-139.38963125257837,50.766583459689194,0.0,0.77,541.14,508.605,1.1201711897552014,0.03540899202568705,0.24168184147649832,C:\Users\marta\OneDrive\Desktop\python\lunar_lander\models\sens_ppo_n_steps_1024_seed_42.zip,1024.0,10.0,0.2,0.01,0.95
sens_ppo_n_steps_1024_seed_123,PPO,n_steps,1024,123,50000,0.0003,0.999,,,,,64,,,,"[128, 128]",-38.971745591640754,99.25156682338915,0.0,0.28,954.96,952.61,0.5081287342682481,0.03607776650391613,0.1338595044265376,C:\Users\marta\OneDrive\Desktop\python\lunar_lander\models\sens_ppo_n_steps_1024_seed_123.zip,1024.0,10.0,0.2,0.01,0.95
sens_ppo_n_steps_2048_seed_42,PPO,n_steps,2048,42,50000,0.0003,0.999,,,,,64,,,,"[128, 128]",-173.38756685998925,64.98950616087114,0.0,0.89,685.395,685.235,1.2251600831747056,0.03879588344915732,0.22181908087607538,C:\Users\marta\OneDrive\Desktop\python\lunar_lander\models\sens_ppo_n_steps_2048_seed_42.zip,2048.0,10.0,0.2,0.01,0.95
sens_ppo_n_steps_2048_seed_123,PPO,n_steps,2048,123,50000,0.0003,0.999,,,,,64,,,,"[128, 128]",-7.330019305936628,123.15059351767214,0.085,0.2,311.625,291.91,0.7212211275286973,0.06155846517791466,0.3903153170517649,C:\Users\marta\OneDrive\Desktop\python\lunar_lander\models\sens_ppo_n_steps_2048_seed_123.zip,2048.0,10.0,0.2,0.01,0.95
sens_ppo_n_steps_4096_seed_42,PPO,n_steps,4096,42,50000,0.0003,0.999,,,,,64,,,,"[128, 128]",-141.5595084520522,54.034246537271,0.0,0.765,533.735,504.78,1.0389265403151513,0.038875037172095936,0.28287094442906513,C:\Users\marta\OneDrive\Desktop\python\lunar_lander\models\sens_ppo_n_steps_4096_seed_42.zip,4096.0,10.0,0.2,0.01,0.95
sens_ppo_n_steps_4096_seed_123,PPO,n_steps,4096,123,50000,0.0003,0.999,,,,,64,,,,"[128, 128]",-121.25876914883776,86.39143075656101,0.005,0.64,333.415,330.205,1.0455932050943375,0.06117696310987368,0.35572896454872305,C:\Users\marta\OneDrive\Desktop\python\lunar_lander\models\sens_ppo_n_steps_4096_seed_123.zip,4096.0,10.0,0.2,0.01,0.95
sens_ppo_batch_size_32_seed_42,PPO,batch_size,32,42,50000,0.0003,0.999,,,,,32,,,,"[128, 128]",148.64250604426965,111.28944500115202,0.51,0.005,362.21,282.795,0.3861924058222212,0.07712623933390121,0.26238263875755674,C:\Users\marta\OneDrive\Desktop\python\lunar_lander\models\sens_ppo_batch_size_32_seed_42.zip,1024.0,10.0,0.2,0.01,0.95
sens_ppo_batch_size_32_seed_123,PPO,batch_size,32,123,50000,0.0003,0.999,,,,,32,,,,"[128, 128]",155.71970704974748,112.50793972962232,0.555,0.015,370.285,305.15,0.2874843164969934,0.08927717222806507,0.2613607756064998,C:\Users\marta\OneDrive\Desktop\python\lunar_lander\models\sens_ppo_batch_size_32_seed_123.zip,1024.0,10.0,0.2,0.01,0.95
sens_ppo_batch_size_64_seed_42,PPO,batch_size,64,42,50000,0.0003,0.999,,,,,64,,,,"[128, 128]",-139.38963125257837,50.766583459689194,0.0,0.77,541.14,508.605,1.1201711897552014,0.03540899202568705,0.24168184147649832,C:\Users\marta\OneDrive\Desktop\python\lunar_lander\models\sens_ppo_batch_size_64_seed_42.zip,1024.0,10.0,0.2,0.01,0.95
sens_ppo_batch_size_64_seed_123,PPO,batch_size,64,123,50000,0.0003,0.999,,,,,64,,,,"[128, 128]",-38.971745591640754,99.25156682338915,0.0,0.28,954.96,952.61,0.5081287342682481,0.03607776650391613,0.1338595044265376,C:\Users\marta\OneDrive\Desktop\python\lunar_lander\models\sens_ppo_batch_size_64_seed_123.zip,1024.0,10.0,0.2,0.01,0.95
sens_ppo_batch_size_128_seed_42,PPO,batch_size,128,42,50000,0.0003,0.999,,,,,128,,,,"[128, 128]",-370.49838333881206,75.72570267461661,0.0,1.0,641.275,640.97,3.223589286804199,0.03142919736216471,0.2379294800565836,C:\Users\marta\OneDrive\Desktop\python\lunar_lander\models\sens_ppo_batch_size_128_seed_42.zip,1024.0,10.0,0.2,0.01,0.95
sens_ppo_batch_size_128_seed_123,PPO,batch_size,128,123,50000,0.0003,0.999,,,,,128,,,,"[128, 128]",-178.4863662984327,138.8519288513695,0.0,0.725,966.25,959.25,1.8780328992009163,0.030906485844335023,0.12449579620903449,C:\Users\marta\OneDrive\Desktop\python\lunar_lander\models\sens_ppo_batch_size_128_seed_123.zip,1024.0,10.0,0.2,0.01,0.95
sens_ppo_net_arch_128x128_seed_42,PPO,net_arch,"[128, 128]",42,50000,0.0003,0.999,,,,,64,,,,"[128, 128]",-139.38963125257837,50.766583459689194,0.0,0.77,541.14,508.605,1.1201711897552014,0.03540899202568705,0.24168184147649832,C:\Users\marta\OneDrive\Desktop\python\lunar_lander\models\sens_ppo_net_arch_128x128_seed_42.zip,1024.0,10.0,0.2,0.01,0.95
sens_ppo_net_arch_128x128_seed_123,PPO,net_arch,"[128, 128]",123,50000,0.0003,0.999,,,,,64,,,,"[128, 128]",-38.971745591640754,99.25156682338915,0.0,0.28,954.96,952.61,0.5081287342682481,0.03607776650391613,0.1338595044265376,C:\Users\marta\OneDrive\Desktop\python\lunar_lander\models\sens_ppo_net_arch_128x128_seed_123.zip,1024.0,10.0,0.2,0.01,0.95
sens_ppo_net_arch_256x256_seed_42,PPO,net_arch,"[256, 256]",42,50000,0.0003,0.999,,,,,64,,,,"[256, 256]",176.90601461868792,99.46174037390527,0.645,0.01,416.415,347.265,0.23466696643736212,0.07033016281280917,0.21946020289385743,C:\Users\marta\OneDrive\Desktop\python\lunar_lander\models\sens_ppo_net_arch_256x256_seed_42.zip,1024.0,10.0,0.2,0.01,0.95
